;Diagnostico;Region;Actividad Economica;Edad;Sexo;Seguro;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Observación
LM autorizadas Seguro de Salud y Region;;Aysén (XI);todas_actv;todas_edad;ambos_sex;fonasa;;;;;13821;16638;21414;23497;16032;31630;44510;
LM autorizadas Seguro de Salud y Region;;Magallanes (XII);todas_actv;todas_edad;ambos_sex;fonasa;;;;;23988;27707;35808;43900;42508;61335;71379;
LM autorizadas Seguro de Salud y Region;;Sin información;todas_actv;todas_edad;ambos_sex;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Seguro de Salud y Region;;Arica y Parinacota (XV);todas_actv;todas_edad;ambos_sex;isapre;;;;;12010;12792;12727;13011;8501;8672;11887;
LM autorizadas Seguro de Salud y Region;;Tarapacá (I);todas_actv;todas_edad;ambos_sex;isapre;;;;;27300;27005;27247;28803;25619;30553;37026;
LM autorizadas Seguro de Salud y Region;;Antofagasta (II);todas_actv;todas_edad;ambos_sex;isapre;;;;;69524;70637;72392;80302;70994;74994;88037;
LM autorizadas Seguro de Salud y Region;;Atacama (III);todas_actv;todas_edad;ambos_sex;isapre;;;;;18747;20505;20569;20570;16356;18219;24039;
LM autorizadas Seguro de Salud y Region;;Coquimbo (IV);todas_actv;todas_edad;ambos_sex;isapre;;;;;20240;21827;23290;24798;17561;19662;29451;
LM autorizadas Seguro de Salud y Region;;Valparaíso (V);todas_actv;todas_edad;ambos_sex;isapre;;;;;93014;99352;103114;106001;84227;92514;118148;
LM autorizadas Seguro de Salud y Region;;Metropolitana (RM);todas_actv;todas_edad;ambos_sex;isapre;;;;;1096995;1170237;1213587;1321052;1059178;1028986;1144290;
LM autorizadas Seguro de Salud y Region;;O'Higgins (VI);todas_actv;todas_edad;ambos_sex;isapre;;;;;49972;51630;52290;54168;49559;49763;61211;
LM autorizadas Seguro de Salud y Region;;Maule (VII);todas_actv;todas_edad;ambos_sex;isapre;;;;;40942;44574;49258;53511;37782;45873;60593;
LM autorizadas Seguro de Salud y Region;;Ñuble (XVI);todas_actv;todas_edad;ambos_sex;isapre;;;;;#N/D;0;6200;23781;15967;21612;28882;
LM autorizadas Seguro de Salud y Region;;Biobío (VIII);todas_actv;todas_edad;ambos_sex;isapre;;;;;116425;123541;126464;115558;83949;90788;115736;
LM autorizadas Seguro de Salud y Region;;La Araucanía (IX);todas_actv;todas_edad;ambos_sex;isapre;;;;;44377;48448;52464;56544;35053;39672;56170;
LM autorizadas Seguro de Salud y Region;;Los Ríos (XIV);todas_actv;todas_edad;ambos_sex;isapre;;;;;18288;19879;21639;22061;13918;15222;22414;
LM autorizadas Seguro de Salud y Region;;Los Lagos (X);todas_actv;todas_edad;ambos_sex;isapre;;;;;56159;59864;63850;66297;44975;57456;71182;
LM autorizadas Seguro de Salud y Region;;Aysén (XI);todas_actv;todas_edad;ambos_sex;isapre;;;;;6346;6897;6811;6589;4029;4977;7126;
LM autorizadas Seguro de Salud y Region;;Magallanes (XII);todas_actv;todas_edad;ambos_sex;isapre;;;;;15566;17410;19209;21960;16365;15967;19043;
LM autorizadas Seguro de Salud y Region;;Sin información;todas_actv;todas_edad;ambos_sex;isapre;;;;;#N/D;14299;14241;1702;18613;5964;1574;
LM autorizadas Seguro de Salud , Region y Sexo;;Arica y Parinacota (XV);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;10528;9764;10339;14802;16844;
LM autorizadas Seguro de Salud , Region y Sexo;;Tarapacá (I);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;24032;28648;31432;55054;64442;
LM autorizadas Seguro de Salud , Region y Sexo;;Antofagasta (II);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;42845;53719;67717;103864;113821;
LM autorizadas Seguro de Salud , Region y Sexo;;Atacama (III);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;20674;26122;26313;42868;54710;
LM autorizadas Seguro de Salud , Region y Sexo;;Coquimbo (IV);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;34206;37833;42776;71238;85053;
LM autorizadas Seguro de Salud , Region y Sexo;;Valparaíso (V);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;82969;127042;149551;246974;262446;
LM autorizadas Seguro de Salud , Region y Sexo;;Metropolitana (RM);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;775167;806499;996436;1397671;1352144;
LM autorizadas Seguro de Salud , Region y Sexo;;O'Higgins (VI);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;66417;76866;94963;142619;139923;
LM autorizadas Seguro de Salud , Region y Sexo;;Maule (VII);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;56463;69791;82697;134135;139631;
LM autorizadas Seguro de Salud , Region y Sexo;;Ñuble (XVI);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;22415;25214;32570;58761;65506;
LM autorizadas Seguro de Salud , Region y Sexo;;Biobío (VIII);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;127338;131766;160183;275750;289372;
LM autorizadas Seguro de Salud , Region y Sexo;;La Araucanía (IX);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;46667;55233;49853;102638;101925;
LM autorizadas Seguro de Salud , Region y Sexo;;Los Ríos (XIV);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;14837;19712;17966;36991;40718;
LM autorizadas Seguro de Salud , Region y Sexo;;Los Lagos (X);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;54931;60362;70273;127466;126974;
LM autorizadas Seguro de Salud , Region y Sexo;;Aysén (XI);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;6563;6901;5901;11530;13619;
LM autorizadas Seguro de Salud , Region y Sexo;;Magallanes (XII);todas_actv;todas_edad;hombre;fonasa;;;;;0;0;11987;15163;17157;24487;26778;
LM autorizadas Seguro de Salud , Region y Sexo;;Sin información;todas_actv;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;0;
LM autorizadas Seguro de Salud , Region y Sexo;;Arica y Parinacota (XV);todas_actv;todas_edad;hombre;isapre;;;;;0;0;5613;5798;4484;4086;5354;
LM autorizadas Seguro de Salud , Region y Sexo;;Tarapacá (I);todas_actv;todas_edad;hombre;isapre;;;;;0;0;15201;16306;16936;19869;22931;
LM autorizadas Seguro de Salud , Region y Sexo;;Antofagasta (II);todas_actv;todas_edad;hombre;isapre;;;;;0;0;45782;50682;49229;50554;56568;
LM autorizadas Seguro de Salud , Region y Sexo;;Atacama (III);todas_actv;todas_edad;hombre;isapre;;;;;0;0;11543;11369;10649;11866;14661;
LM autorizadas Seguro de Salud , Region y Sexo;;Coquimbo (IV);todas_actv;todas_edad;hombre;isapre;;;;;0;0;10853;11473;9187;9478;13453;
LM autorizadas Seguro de Salud , Region y Sexo;;Valparaíso (V);todas_actv;todas_edad;hombre;isapre;;;;;0;0;48546;49554;44381;45945;54655;
LM autorizadas Seguro de Salud , Region y Sexo;;Metropolitana (RM);todas_actv;todas_edad;hombre;isapre;;;;;0;0;578805;631974;564362;527540;534799;
LM autorizadas Seguro de Salud , Region y Sexo;;O'Higgins (VI);todas_actv;todas_edad;hombre;isapre;;;;;0;0;26337;27405;29928;26685;30800;
LM autorizadas Seguro de Salud , Region y Sexo;;Maule (VII);todas_actv;todas_edad;hombre;isapre;;;;;0;0;22533;24381;19538;22217;27608;
LM autorizadas Seguro de Salud , Region y Sexo;;Ñuble (XVI);todas_actv;todas_edad;hombre;isapre;;;;;0;0;2796;10569;8180;10504;13244;
LM autorizadas Seguro de Salud , Region y Sexo;;Biobío (VIII);todas_actv;todas_edad;hombre;isapre;;;;;0;0;54777;51309;43449;45790;52415;
LM autorizadas Seguro de Salud , Region y Sexo;;La Araucanía (IX);todas_actv;todas_edad;hombre;isapre;;;;;0;0;21666;23290;16024;17159;22968;
LM autorizadas Seguro de Salud , Region y Sexo;;Los Ríos (XIV);todas_actv;todas_edad;hombre;isapre;;;;;0;0;9697;9699;6692;7220;9849;
LM autorizadas Seguro de Salud , Region y Sexo;;Los Lagos (X);todas_actv;todas_edad;hombre;isapre;;;;;0;0;29145;30707;24437;30025;33455;
LM autorizadas Seguro de Salud , Region y Sexo;;Aysén (XI);todas_actv;todas_edad;hombre;isapre;;;;;0;0;3077;2815;1989;2297;3083;
LM autorizadas Seguro de Salud , Region y Sexo;;Magallanes (XII);todas_actv;todas_edad;hombre;isapre;;;;;0;0;9774;11169;9603;8639;9671;
LM autorizadas Seguro de Salud , Region y Sexo;;Sin información;todas_actv;todas_edad;hombre;isapre;;;;;0;0;7221;903;1426;1227;993;
LM autorizadas Seguro de Salud , Region y Sexo;;Arica y Parinacota (XV);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;20706;18498;11394;21382;29966;
LM autorizadas Seguro de Salud , Region y Sexo;;Tarapacá (I);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;40554;48637;33807;51068;62886;
LM autorizadas Seguro de Salud , Region y Sexo;;Antofagasta (II);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;55969;64570;58530;99501;120415;
LM autorizadas Seguro de Salud , Region y Sexo;;Atacama (III);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;32137;39197;26768;41671;63125;
LM autorizadas Seguro de Salud , Region y Sexo;;Coquimbo (IV);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;73632;80430;58472;99746;147449;
LM autorizadas Seguro de Salud , Region y Sexo;;Valparaíso (V);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;152906;225706;190356;313544;408534;
LM autorizadas Seguro de Salud , Region y Sexo;;Metropolitana (RM);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;1481521;1469528;1433002;1814224;1884383;
LM autorizadas Seguro de Salud , Region y Sexo;;O'Higgins (VI);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;107940;115679;105847;153497;188090;
LM autorizadas Seguro de Salud , Region y Sexo;;Maule (VII);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;111796;136446;111110;183895;225104;
LM autorizadas Seguro de Salud , Region y Sexo;;Ñuble (XVI);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;44763;49775;42182;71616;100135;
LM autorizadas Seguro de Salud , Region y Sexo;;Biobío (VIII);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;214222;204913;170937;265434;380142;
LM autorizadas Seguro de Salud , Region y Sexo;;La Araucanía (IX);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;97623;112206;63995;141707;182580;
LM autorizadas Seguro de Salud , Region y Sexo;;Los Ríos (XIV);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;28720;35116;22030;45164;73007;
LM autorizadas Seguro de Salud , Region y Sexo;;Los Lagos (X);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;106396;114495;90263;162064;214702;
LM autorizadas Seguro de Salud , Region y Sexo;;Aysén (XI);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;14851;16596;10131;20100;30891;
LM autorizadas Seguro de Salud , Region y Sexo;;Magallanes (XII);todas_actv;todas_edad;mujer;fonasa;;;;;0;0;23820;28737;25351;36848;44601;
LM autorizadas Seguro de Salud , Region y Sexo;;Sin información;todas_actv;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;0;
LM autorizadas Seguro de Salud , Region y Sexo;;Arica y Parinacota (XV);todas_actv;todas_edad;mujer;isapre;;;;;0;0;7115;7213;4017;4586;6533;
LM autorizadas Seguro de Salud , Region y Sexo;;Tarapacá (I);todas_actv;todas_edad;mujer;isapre;;;;;0;0;12046;12497;8684;10684;14095;
LM autorizadas Seguro de Salud , Region y Sexo;;Antofagasta (II);todas_actv;todas_edad;mujer;isapre;;;;;0;0;26611;29621;21760;24438;31469;
LM autorizadas Seguro de Salud , Region y Sexo;;Atacama (III);todas_actv;todas_edad;mujer;isapre;;;;;0;0;9026;9201;5707;6353;9378;
LM autorizadas Seguro de Salud , Region y Sexo;;Coquimbo (IV);todas_actv;todas_edad;mujer;isapre;;;;;0;0;12437;13325;8373;10184;15998;
LM autorizadas Seguro de Salud , Region y Sexo;;Valparaíso (V);todas_actv;todas_edad;mujer;isapre;;;;;0;0;54568;56447;39846;46568;63493;
LM autorizadas Seguro de Salud , Region y Sexo;;Metropolitana (RM);todas_actv;todas_edad;mujer;isapre;;;;;0;0;634782;689078;494798;501417;609488;
LM autorizadas Seguro de Salud , Region y Sexo;;O'Higgins (VI);todas_actv;todas_edad;mujer;isapre;;;;;0;0;25953;26763;19631;23078;30411;
LM autorizadas Seguro de Salud , Region y Sexo;;Maule (VII);todas_actv;todas_edad;mujer;isapre;;;;;0;0;26725;29130;18244;23656;32985;
LM autorizadas Seguro de Salud , Region y Sexo;;Ñuble (XVI);todas_actv;todas_edad;mujer;isapre;;;;;0;0;3404;13212;7784;11108;15638;
LM autorizadas Seguro de Salud , Region y Sexo;;Biobío (VIII);todas_actv;todas_edad;mujer;isapre;;;;;0;0;71687;64249;40500;44998;63321;
LM autorizadas Seguro de Salud , Region y Sexo;;La Araucanía (IX);todas_actv;todas_edad;mujer;isapre;;;;;0;0;30798;33254;19028;22511;33202;
LM autorizadas Seguro de Salud , Region y Sexo;;Los Ríos (XIV);todas_actv;todas_edad;mujer;isapre;;;;;0;0;11942;12362;7227;8002;12565;
LM autorizadas Seguro de Salud , Region y Sexo;;Los Lagos (X);todas_actv;todas_edad;mujer;isapre;;;;;0;0;34705;35590;20538;27428;37727;
LM autorizadas Seguro de Salud , Region y Sexo;;Aysén (XI);todas_actv;todas_edad;mujer;isapre;;;;;0;0;3733;3774;2040;2680;4043;
LM autorizadas Seguro de Salud , Region y Sexo;;Magallanes (XII);todas_actv;todas_edad;mujer;isapre;;;;;0;0;9435;10790;6762;7328;9372;
LM autorizadas Seguro de Salud , Region y Sexo;;Sin información;todas_actv;todas_edad;mujer;isapre;;;;;0;0;7020;799;17179;4731;581;
