;Diagnostico;Region;Actividad Economica;Edad;Sexo;Seguro;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Observación
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Minería;todas_edad;ambos_sex;isapre;;;;;0;0;0;0;0;0;65439;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Industria Manufacturera;todas_edad;ambos_sex;isapre;;;;;0;0;0;0;0;0;135185;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Electricidad, Gas y Agua;todas_edad;ambos_sex;isapre;;;;;0;0;0;0;0;0;13269;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Construcción;todas_edad;ambos_sex;isapre;;;;;0;0;0;0;0;0;91171;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Comercio ;todas_edad;ambos_sex;isapre;;;;;0;0;0;0;0;0;200265;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Transportes y Comunicaciones;todas_edad;ambos_sex;isapre;;;;;0;0;0;0;0;0;114769;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Servicios;todas_edad;ambos_sex;isapre;;;;;0;0;0;0;0;0;1177964;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Sin información;todas_edad;ambos_sex;isapre;;;;;0;0;0;0;0;0;75819;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Agricultura y Pesca;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;175160;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Minería;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;30786;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Industria Manufacturera;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;353621;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Electricidad, Gas y Agua;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;12821;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Construcción;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;487399;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Comercio ;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;481198;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Transportes y Comunicaciones;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;328248;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Servicios;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;935525;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Sin información;todas_edad;hombre;fonasa;;;;;0;0;0;0;0;0;89148;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Agricultura y Pesca;todas_edad;hombre;isapre;;;;;0;0;0;0;0;0;16634;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Minería;todas_edad;hombre;isapre;;;;;0;0;0;0;0;0;56186;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Industria Manufacturera;todas_edad;hombre;isapre;;;;;0;0;0;0;0;0;101584;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Electricidad, Gas y Agua;todas_edad;hombre;isapre;;;;;0;0;0;0;0;0;9668;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Construcción;todas_edad;hombre;isapre;;;;;0;0;0;0;0;0;74948;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Comercio ;todas_edad;hombre;isapre;;;;;0;0;0;0;0;0;119462;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Transportes y Comunicaciones;todas_edad;hombre;isapre;;;;;0;0;0;0;0;0;88372;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Servicios;todas_edad;hombre;isapre;;;;;0;0;0;0;0;0;413075;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Sin información;todas_edad;hombre;isapre;;;;;0;0;0;0;0;0;26578;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Agricultura y Pesca;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;118529;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Minería;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;4939;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Industria Manufacturera;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;213688;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Electricidad, Gas y Agua;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;5303;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Construcción;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;91363;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Comercio ;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;939363;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Transportes y Comunicaciones;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;105898;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Servicios;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;2463734;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Sin información;todas_edad;mujer;fonasa;;;;;0;0;0;0;0;0;213193;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Agricultura y Pesca;todas_edad;mujer;isapre;;;;;0;0;0;0;0;0;6294;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Minería;todas_edad;mujer;isapre;;;;;0;0;0;0;0;0;9253;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Industria Manufacturera;todas_edad;mujer;isapre;;;;;0;0;0;0;0;0;33601;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Electricidad, Gas y Agua;todas_edad;mujer;isapre;;;;;0;0;0;0;0;0;3601;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Construcción;todas_edad;mujer;isapre;;;;;0;0;0;0;0;0;16222;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Comercio ;todas_edad;mujer;isapre;;;;;0;0;0;0;0;0;80803;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Transportes y Comunicaciones;todas_edad;mujer;isapre;;;;;0;0;0;0;0;0;26396;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Servicios;todas_edad;mujer;isapre;;;;;0;0;0;0;0;0;764888;
LM autorizadas Seguro de Salud, Actividad economica y Sexo;;todas_regiones;Sin información;todas_edad;mujer;isapre;;;;;0;0;0;0;0;0;49241;
LM autorizadas Diagnostico y Seguro de Salud;Trastornos mentales;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;738637;811429;895548;1006447;1121980;1752698;2052177;
LM autorizadas Diagnostico y Seguro de Salud;Enf. osteomusculares;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;760826;832356;910912;965688;782342;1190512;1232905;
LM autorizadas Diagnostico y Seguro de Salud;Enf. respiratorias;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;471051;522984;532286;577880;297507;261620;612429;
LM autorizadas Diagnostico y Seguro de Salud;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;255237;274089;299629;337334;274979;384610;425220;
LM autorizadas Diagnostico y Seguro de Salud;Enf. infecciosas;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;182444;213711;254300;252645;160952;155558;218486;
LM autorizadas Diagnostico y Seguro de Salud;Enf. del Sistema Digestivo;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;150866;170967;191758;218479;148360;210391;253915;
LM autorizadas Diagnostico y Seguro de Salud;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;124954;120756;122500;117867;89352;91681;106304;
LM autorizadas Diagnostico y Seguro de Salud;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;111741;121844;129329;130251;91721;117762;135336;
LM autorizadas Diagnostico y Seguro de Salud;Tumores y Cánceres;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;83900;89163;98202;102935;89074;101147;110864;
LM autorizadas Diagnostico y Seguro de Salud;Enf. cardiovasculares;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;94043;99417;104274;108262;100247;119248;123042;
LM autorizadas Diagnostico y Seguro de Salud;COVID-19;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;#N/D;0;0;0;673016;1341249;1210726;
;Licencia médica preventiva parental;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;#N/D;0;0;0;95044;127818;0;
LM autorizadas Diagnostico y Seguro de Salud;Otros diagnósticos;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;374860;407350;466830;493245;385727;514015;568512;
LM autorizadas Diagnostico y Seguro de Salud;Sin información;todas_regiones;todas_actv;todas_edad;ambos_sex;fonasa;;;;;#N/D;6;36;131;1;0;0;
LM autorizadas Diagnostico y Seguro de Salud;Trastornos mentales;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;228829;237592;264088;294794;313392;426790;403943;
LM autorizadas Diagnostico y Seguro de Salud;Enf. osteomusculares;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;255851;275647;292664;309965;225906;239713;234180;
LM autorizadas Diagnostico y Seguro de Salud;Enf. respiratorias;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;383672;410875;392108;437945;131154;86029;234577;
LM autorizadas Diagnostico y Seguro de Salud;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;135455;145004;153965;162474;115102;108616;116672;
LM autorizadas Diagnostico y Seguro de Salud;Enf. infecciosas;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;156245;182559;196453;181350;81624;51779;77805;
LM autorizadas Diagnostico y Seguro de Salud;Enf. del Sistema Digestivo;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;127625;134184;145070;170510;89729;82611;102816;
LM autorizadas Diagnostico y Seguro de Salud;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;55298;56141;53086;50392;37253;30673;32506;
LM autorizadas Diagnostico y Seguro de Salud;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;60367;65341;67988;69399;43285;40619;45980;
LM autorizadas Diagnostico y Seguro de Salud;Tumores y Cánceres;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;48692;52433;56184;60086;49888;39182;41084;
LM autorizadas Diagnostico y Seguro de Salud;Enf. cardiovasculares;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;32930;35116;36547;38044;30571;26396;26258;
LM autorizadas Diagnostico y Seguro de Salud;COVID-19;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;#N/D;0;0;0;269892;270660;415693;
;Licencia médica preventiva parental;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;#N/D;0;0;0;56874;45848;0;
LM autorizadas Diagnostico y Seguro de Salud;Otros diagnósticos;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;200941;213923;227119;241205;157723;171943;164829;
LM autorizadas Diagnostico y Seguro de Salud;Sin información;todas_regiones;todas_actv;todas_edad;ambos_sex;isapre;;;;;#N/D;83;78;543;253;35;466;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Trastornos mentales;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;187430;199892;216142;252112;364991;608314;705255;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. osteomusculares;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;327339;343087;364863;391891;362936;582528;564235;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. respiratorias;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;159922;166587;160268;182980;122041;110372;208224;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;155822;159800;171833;195086;165083;234547;254393;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. infecciosas;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;68494;75951;87218;89779;68013;69334;83041;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. del Sistema Digestivo;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;65036;70525;76636;88703;69472;100216;111727;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;0;0;0;204;114;129;88;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;35962;37990;38235;40403;34809;44535;45683;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Tumores y Cánceres;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;38954;41516;45650;48738;44396;47610;50036;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. cardiovasculares;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;61652;63770;65445;69363;67978;80306;81399;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;COVID-19;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;#N/D;0;0;0;383227;733727;551843;
;Licencia médica preventiva parental;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;#N/D;0;0;0;19;77;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Otros diagnósticos;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;154497;162096;171729;191307;173048;235153;237982;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Sin información;todas_regiones;todas_actv;todas_edad;hombre;fonasa;;;;;#N/D;2;20;69;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Trastornos mentales;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;551207;611537;679406;754335;756989;1144384;1346922;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. osteomusculares;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;433487;489269;546046;573797;419406;607984;668670;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. respiratorias;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;311129;356397;372016;394900;175466;151248;404205;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;99414;114289;127796;142248;109896;150063;170827;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. infecciosas;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;113950;137760;167081;162866;92939;86224;135445;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. del Sistema Digestivo;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;85830;100442;115122;129776;78888;110175;142188;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;124954;120756;122500;117663;89238;91552;106216;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;75779;83854;91093;89848;56912;73227;89653;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Tumores y Cánceres;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;44946;47647;52551;54197;44678;53537;60828;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. cardiovasculares;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;32391;35647;38829;38899;32269;38942;41643;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;COVID-19;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;#N/D;0;0;0;289789;607522;658883;
;Licencia médica preventiva parental;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;#N/D;0;0;0;95025;127741;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Otros diagnósticos;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;220363;245254;295100;301938;212679;278862;330530;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Sin información;todas_regiones;todas_actv;todas_edad;mujer;fonasa;;;;;#N/D;4;16;62;1;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Trastornos mentales;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. osteomusculares;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;3;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. respiratorias;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;2;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. infecciosas;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;1;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. del Sistema Digestivo;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;1;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Tumores y Cánceres;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;1;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. cardiovasculares;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;COVID-19;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;0;0;0;0;0;
;Licencia médica preventiva parental;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Otros diagnósticos;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;1;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Sin información;todas_regiones;todas_actv;todas_edad;sin_info;fonasa;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Trastornos mentales;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;187430;97199;107103;122976;144640;188195;166535;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. osteomusculares;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;327339;155755;163883;172852;136612;145226;132791;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. respiratorias;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;159922;183516;173561;196212;74331;45601;99080;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;155822;97295;103112;107838;77492;73294;76859;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. infecciosas;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;68494;93114;99441;89326;45747;27638;36313;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. del Sistema Digestivo;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;65036;69152;74189;88417;50786;45114;51686;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;0;3852;4110;3850;1544;33;16;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;35962;22927;24221;24803;17379;15248;15552;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Tumores y Cánceres;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;38954;23866;26194;28562;24234;18102;18522;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. cardiovasculares;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;61652;22544;23634;24521;21487;18390;17564;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;COVID-19;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;#N/D;0;0;0;184962;177785;218468;
;Licencia médica preventiva parental;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;#N/D;0;0;0;114;126;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Otros diagnósticos;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;154497;97484;103911;109857;81065;86335;72892;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Sin información;todas_regiones;todas_actv;todas_edad;hombre;isapre;;;;;#N/D;21;6;188;99;14;229;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Trastornos mentales;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;551207;140393;156985;171818;168747;238589;237408;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. osteomusculares;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;433487;119892;128781;137113;89293;94486;101389;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. respiratorias;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;311129;227359;218548;241732;56821;40428;135497;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;99414;47710;50853;54636;37610;35313;39812;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. infecciosas;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;113950;89445;97012;92024;35877;24141;41492;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. del Sistema Digestivo;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;85830;65032;70881;82092;38943;37496;51130;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;124954;52289;48976;46542;35700;30633;32490;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;75779;42414;43767;44596;25904;25371;30428;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Tumores y Cánceres;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;44946;28567;29990;31524;25654;21080;22562;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. cardiovasculares;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;32391;12572;12913;13523;9084;8006;8694;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;COVID-19;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;#N/D;0;0;0;84924;92873;197224;
;Licencia médica preventiva parental;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;#N/D;0;0;0;56751;45708;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Otros diagnósticos;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;220363;116439;123207;131348;76656;85605;91936;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Sin información;todas_regiones;todas_actv;todas_edad;mujer;isapre;;;;;#N/D;63;72;355;154;21;237;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Trastornos mentales;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;5;6;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. osteomusculares;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;2;1;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. respiratorias;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;2;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Traumatismos, envenenamientos y otros;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;0;9;1;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. infecciosas;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. del Sistema Digestivo;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;0;1;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Afecciones del embarazo, Parto y Puerperio;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;9;7;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enfermedades del Sist. Genito urinario;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;2;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Tumores y Cánceres;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Enf. cardiovasculares;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;COVID-19;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;6;2;1;
;Licencia médica preventiva parental;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;9;14;0;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Otros diagnósticos;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;3;3;1;
LM autorizadas Diagnostico , Seguro de Salud y Sexo;Sin información;todas_regiones;todas_actv;todas_edad;sin_info;isapre;;;;;#N/D;0;0;0;0;0;0;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Trastornos mentales;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;3602;3226;3510;3922;3897;7120;11346;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. osteomusculares;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;5722;4755;5000;4629;3417;7014;7538;
LM autorizadas Diagnostico, Seguro de Salud, Edad;Enf. respiratorias;todas_regiones;todas_actv;19 y menos;ambos_sex;fonasa;;;;;5460;4323;4397;4615;2460;2813;7361;
